sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
341,2.945232,7.948,4.492,1.147,1.718,0.591
342,2.955174,7.584,4.583,1.656,0.924,0.421
343,2.963854,7.765,4.514,1.702,0.951,0.598
344,2.972192,7.615,4.488,1.764,0.986,0.377
345,2.980152,8.137,4.487,1.217,1.893,0.54
346,2.988743,7.824,4.538,1.704,1.108,0.474
347,2.996713,8.127,4.529,1.676,1.513,0.409
348,3.005675,8.302,4.654,1.719,1.192,0.737
349,3.016172,8.265,4.574,1.618,1.437,0.636
350,3.024188,8.615,4.589,1.692,1.666,0.668
351,3.032539,8.575,4.626,1.803,1.498,0.648
352,3.040836,8.331,4.645,1.77,1.544,0.372
353,3.049478,8.494,4.626,1.697,1.339,0.832
354,3.05773,8.47,4.63,1.691,1.418,0.731
355,3.067843,8.076,4.643,1.71,1.111,0.612
356,3.076907,8.37,4.642,1.74,1.396,0.592
357,3.084553,9.041,4.551,2.288,1.592,0.61
358,3.093483,8.347,4.63,1.338,1.879,0.5
359,3.100919,9.182,4.592,2.216,1.919,0.455
360,3.110121,8.903,4.568,1.563,1.752,1.02
361,3.118103,8.697,4.601,2.196,1.419,0.481
362,3.126195,8.933,4.482,1.228,2.776,0.447
363,3.134604,8.785,4.611,1.742,2.056,0.376
364,3.144902,7.865,4.621,1.822,1.056,0.366
365,3.155729,7.941,4.587,1.706,0.933,0.715
366,3.163594,8.174,4.508,1.666,1.514,0.486
367,3.172098,8.184,4.505,1.741,1.278,0.66
368,3.180652,7.989,4.53,1.722,1.068,0.669
369,3.188903,8.018,4.539,1.849,1.0,0.63
370,3.196896,8.308,4.516,2.083,1.108,0.601
371,3.20558,8.492,4.486,2.24,0.855,0.911
372,3.21391,8.272,4.528,2.203,0.986,0.555
373,3.222196,8.628,4.497,2.294,1.005,0.832
374,3.229831,9.038,4.549,1.41,2.565,0.514
375,3.238699,8.36,4.531,1.856,1.602,0.371
376,3.246657,8.734,4.5,1.201,2.674,0.359
377,3.255423,8.388,4.564,1.725,1.653,0.446
378,3.266178,8.775,4.622,2.438,0.921,0.794
379,3.27452,8.689,4.516,1.96,1.512,0.701
380,3.282443,8.857,4.515,1.888,1.99,0.464
381,3.290967,9.075,4.523,2.135,1.53,0.887
382,3.299487,8.809,4.61,2.175,1.229,0.795
383,3.307474,9.105,4.506,1.789,2.087,0.723
384,3.3163,8.693,4.603,1.06,2.238,0.792
385,3.326002,7.936,4.593,1.734,1.279,0.33
386,3.334485,8.426,4.628,2.328,0.982,0.488
387,3.343671,8.664,4.642,2.187,1.052,0.783
388,3.351452,9.298,4.73,1.804,1.936,0.828
389,3.35961,9.005,4.582,1.761,2.295,0.367
390,3.367718,9.435,4.633,1.769,2.467,0.566
391,3.376218,9.084,4.67,1.722,2.307,0.385
392,3.384698,9.122,4.61,1.9,2.036,0.576
393,3.394584,8.063,4.583,1.773,1.315,0.392
394,3.403396,7.936,4.613,1.722,1.194,0.407
395,3.411731,8.194,4.593,1.718,1.228,0.655
396,3.420229,8.192,4.603,1.752,1.217,0.62
397,3.428379,8.279,4.62,1.676,1.471,0.512
398,3.436859,8.162,4.618,1.732,1.266,0.546
399,3.446975,8.344,4.603,1.741,1.342,0.658
400,3.455469,8.007,4.624,1.666,1.368,0.349
401,3.463755,8.401,4.634,1.747,1.332,0.688
402,3.472278,8.277,4.628,1.66,1.387,0.602
403,3.479976,8.922,4.612,1.771,1.932,0.607
404,3.488853,8.266,4.625,2.22,1.056,0.365
405,3.496926,8.444,4.607,1.862,1.717,0.258
406,3.505032,8.637,4.511,1.955,1.942,0.229
407,3.515191,7.959,4.576,1.98,1.204,0.199
408,3.523911,7.704,4.667,1.905,0.954,0.178
409,3.531896,8.42,4.653,1.936,1.643,0.188
410,3.540364,8.304,4.623,1.103,2.381,0.197
411,3.549038,7.995,4.604,1.694,1.468,0.229
412,3.557004,8.314,4.618,2.242,1.232,0.222
413,3.565639,8.395,4.741,1.988,1.455,0.211
414,3.573984,8.399,4.606,2.005,1.559,0.229
415,3.584614,7.923,4.621,2.07,1.004,0.228
416,3.594528,7.896,4.649,1.967,1.024,0.256
417,3.602754,8.024,4.581,1.921,1.306,0.216
418,3.611108,7.981,4.491,1.859,1.427,0.204
419,3.61946,7.984,4.561,1.957,1.245,0.221
420,3.628061,7.702,4.525,1.982,0.998,0.197
421,3.63632,7.935,4.551,1.963,1.182,0.239
422,3.64482,7.965,4.523,2.026,1.114,0.302
423,3.653273,7.931,4.515,1.993,1.171,0.252
424,3.661235,8.274,4.536,2.18,1.336,0.222
425,3.670767,7.668,4.549,2.098,0.827,0.194
426,3.678051,8.767,4.529,1.891,2.086,0.261
427,3.686354,8.763,4.503,1.74,2.291,0.229
428,3.694851,8.611,4.527,1.961,1.884,0.239
429,3.70535,7.685,4.635,1.862,0.982,0.206
430,3.713178,8.164,4.48,1.748,1.739,0.197
431,3.721802,8.109,4.556,2.123,1.215,0.215
432,3.729805,8.435,4.556,2.051,1.612,0.216
433,3.738467,8.139,4.575,2.142,1.177,0.245
434,3.747313,8.19,4.519,1.95,1.477,0.244
435,3.75745,7.995,4.639,1.826,1.314,0.216
436,3.76597,7.777,4.595,1.773,1.23,0.179
437,3.773811,8.277,4.649,1.782,1.661,0.185
438,3.782457,7.945,4.633,1.671,1.478,0.163
439,3.790377,8.615,4.689,2.254,1.405,0.267
440,3.799048,8.24,4.63,1.99,1.401,0.219
441,3.807177,8.605,4.629,2.099,1.491,0.386
442,3.815583,8.446,4.707,2.181,1.367,0.191
443,3.825749,8.564,4.654,2.052,1.637,0.221
444,3.834373,8.28,4.643,1.929,1.492,0.216
445,3.842859,8.18,4.659,2.074,1.212,0.235
446,3.850946,8.424,4.648,2.053,1.502,0.221
447,3.859344,8.357,4.646,2.093,1.398,0.22
