sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
328,2.830432,8.213,4.428,0.149,0.81,2.826
329,2.838427,8.496,4.518,0.122,0.787,3.069
330,2.846837,8.422,4.486,0.093,0.762,3.081
331,2.855264,9.941,4.501,0.163,2.303,2.974
332,2.864071,10.095,4.524,0.119,2.317,3.135
333,2.871911,9.989,4.508,0.13,2.295,3.056
334,2.880665,9.571,4.481,0.112,2.281,2.697
335,2.890585,8.734,4.599,0.092,0.893,3.15
336,2.899125,8.504,4.58,0.106,0.873,2.945
337,2.907331,8.673,4.613,0.091,0.877,3.092
338,2.915958,8.436,4.573,0.172,0.89,2.801
339,2.923933,8.955,4.585,0.225,0.952,3.193
340,2.932581,8.626,4.576,0.134,0.965,2.951
341,2.942731,6.778,4.599,0.091,0.953,1.135
342,2.951382,6.416,4.561,0.129,0.937,0.789
343,2.959399,6.739,4.58,0.123,0.916,1.12
344,2.968246,6.236,4.621,0.135,0.892,0.588
345,2.97634,8.392,4.583,0.125,0.74,2.944
346,2.984592,8.797,4.563,0.086,0.884,3.264
347,2.992731,9.161,4.658,0.296,1.048,3.159
348,3.003439,6.955,4.572,0.125,1.093,1.165
349,3.01384,5.863,4.662,0.091,0.808,0.302
350,3.021848,6.12,4.607,0.158,1.08,0.275
351,3.030334,5.942,4.572,0.094,1.053,0.223
352,3.038454,6.164,4.566,0.082,1.287,0.229
353,3.046702,6.24,4.46,0.084,1.472,0.224
354,3.055138,6.156,4.505,0.067,1.349,0.235
355,3.063815,8.568,4.497,0.074,0.672,3.325
356,3.071864,9.011,4.56,0.256,0.75,3.445
357,3.080281,8.914,4.509,0.103,0.727,3.575
358,3.088833,8.689,4.512,0.109,0.71,3.358
359,3.096944,8.923,4.533,0.104,0.689,3.597
360,3.105451,8.68,4.493,0.113,0.668,3.406
361,3.113684,8.961,4.549,0.081,0.711,3.62
362,3.122089,8.79,4.5,0.13,0.691,3.469
363,3.132308,8.928,4.57,0.081,0.602,3.675
364,3.141014,13.112,4.528,0.091,5.123,3.37
365,3.148884,13.634,4.511,0.137,5.1,3.886
366,3.157479,13.389,4.475,0.119,5.083,3.712
367,3.166683,13.219,4.43,0.202,5.058,3.529
368,3.174676,13.62,4.425,0.204,5.244,3.747
369,3.182248,14.012,4.622,0.088,5.228,4.074
370,3.191255,13.153,4.465,0.083,5.204,3.401
371,3.201572,11.069,4.553,0.076,3.096,3.344
372,3.210418,11.236,4.52,0.154,3.081,3.481
373,3.218267,13.784,4.567,0.128,5.593,3.496
374,3.226164,14.148,4.636,0.098,5.574,3.84
375,3.234313,14.19,4.639,0.082,5.554,3.915
376,3.242901,14.029,4.498,0.147,5.537,3.847
377,3.25153,13.764,4.552,0.159,5.512,3.541
378,3.261203,12.361,4.63,0.115,5.49,2.126
379,3.269814,12.124,4.598,0.185,5.472,1.869
380,3.278782,11.428,4.63,0.111,5.465,1.222
381,3.286374,12.11,4.577,0.109,5.459,1.965
382,3.295022,11.842,4.629,0.093,5.462,1.658
383,3.302998,12.181,4.626,0.083,5.46,2.012
384,3.311683,11.815,4.632,0.09,5.449,1.644
385,3.321828,10.0,4.636,0.181,1.292,3.891
386,3.330621,13.657,4.498,0.109,5.148,3.902
387,3.33853,13.938,4.613,0.14,5.2,3.985
388,3.346983,13.782,4.678,0.105,5.2,3.799
389,3.355947,13.549,4.623,0.082,5.617,3.227
390,3.363854,14.088,4.733,0.107,5.617,3.631
391,3.3743,11.85,4.581,0.1,5.623,1.546
392,3.380583,13.99,4.515,0.114,5.617,3.744
393,3.390499,13.831,4.564,4.579,0.748,3.94
394,3.398753,14.169,0.0,0.033,5.285,8.851
395,3.40754,13.799,4.547,0.056,5.314,3.882
396,3.415453,14.468,4.24,0.09,5.575,4.563
397,3.424321,14.116,4.742,0.062,5.608,3.704
398,3.43285,13.801,4.682,0.06,5.631,3.428
399,3.441129,13.808,4.541,0.058,5.654,3.555
400,3.451352,11.846,4.61,0.098,3.606,3.532
401,3.460935,10.576,4.595,0.273,3.627,2.081
402,3.469953,10.117,4.615,0.104,3.651,1.747
403,3.477859,10.32,4.529,0.106,3.655,2.03
404,3.486533,10.24,4.532,0.15,3.681,1.877
405,3.495157,9.82,4.59,0.169,3.702,1.359
406,3.503252,10.161,4.604,0.219,3.714,1.624
407,3.511549,10.037,4.537,0.126,1.648,3.726
408,3.520221,13.549,4.556,0.157,5.463,3.373
409,3.528231,13.859,4.598,0.122,5.482,3.657
410,3.536771,13.753,4.67,0.12,5.511,3.452
411,3.545084,13.691,4.544,0.102,5.531,3.514
412,3.553138,13.988,4.682,0.067,5.553,3.686
413,3.561746,13.664,4.722,0.11,5.567,3.265
414,3.572361,11.364,4.565,0.113,3.526,3.16
415,3.580407,11.72,4.558,0.11,3.541,3.511
416,3.588977,11.399,4.55,0.109,3.557,3.183
417,3.597016,11.737,4.571,0.101,3.588,3.477
418,3.605551,11.495,4.516,0.092,3.594,3.293
419,3.613612,11.8,4.55,0.134,3.614,3.502
420,3.622181,11.574,4.595,0.128,3.64,3.211
421,3.632635,9.467,4.594,0.094,3.67,1.109
422,3.641105,9.28,4.617,0.07,3.695,0.898
423,3.6489,9.754,4.603,0.09,3.71,1.351
424,3.65749,9.516,4.559,0.065,1.646,3.246
425,3.665533,9.806,4.633,0.099,1.67,3.404
426,3.674105,9.529,4.583,0.089,1.689,3.168
427,3.682396,9.58,4.566,0.061,1.705,3.248
428,3.690873,9.445,4.594,0.087,1.731,3.033
429,3.699748,8.888,4.631,0.084,1.756,2.417
430,3.709293,7.699,4.586,0.053,1.777,1.283
431,3.717829,7.483,4.568,0.069,1.796,1.05
432,3.726286,7.363,4.577,0.052,1.818,0.916
433,3.734466,7.508,4.545,0.086,1.836,1.041
434,3.742785,7.701,4.612,0.082,1.86,1.147
435,3.751481,7.291,4.532,0.074,1.878,0.807
436,3.761817,8.201,4.608,0.114,0.69,2.789
437,3.769839,8.432,4.584,0.049,0.707,3.092
438,3.77811,8.518,4.574,0.066,0.733,3.145
439,3.786534,8.408,4.554,0.049,0.754,3.051
440,3.795042,8.274,4.516,0.074,0.772,2.912
441,3.802986,8.635,4.509,0.061,0.792,3.273
442,3.811668,8.287,4.461,0.067,0.815,2.944
443,3.822565,5.811,4.607,0.087,0.797,0.32
444,3.83041,6.24,4.473,0.052,0.854,0.861
445,3.839288,7.44,4.477,0.078,0.588,2.297
446,3.846956,8.141,4.498,0.057,0.613,2.973
447,3.85557,7.86,4.455,0.048,0.667,2.69
448,3.86361,8.354,4.468,0.07,0.712,3.104
449,3.871863,8.301,4.496,0.083,0.731,2.991
450,3.882271,6.238,4.586,0.107,0.752,0.793
451,3.892625,5.537,4.552,0.08,0.657,0.248
452,3.901227,5.425,4.48,0.067,0.622,0.256
453,3.909522,5.454,4.505,0.07,0.642,0.237
454,3.917496,5.826,4.454,0.05,1.05,0.272
455,3.926093,5.577,4.483,0.082,0.76,0.252
456,3.934211,5.791,4.495,0.066,0.972,0.258
457,3.94271,5.651,4.474,0.065,0.851,0.261
458,3.951267,7.773,4.566,0.071,0.672,2.464
459,3.959376,8.014,4.549,0.047,0.686,2.732
460,3.967832,7.882,4.596,0.058,0.713,2.515
461,3.975824,8.23,4.575,0.083,0.733,2.839
462,3.984463,7.919,4.548,0.045,0.752,2.574
463,3.992844,7.87,4.55,0.063,0.773,2.484
464,4.001096,7.953,4.572,0.056,0.797,2.528
465,4.011443,5.947,4.532,0.047,0.817,0.551
466,4.020026,5.725,4.612,0.076,0.802,0.235
467,4.028269,5.791,4.547,0.041,0.872,0.331
468,4.036709,5.707,4.584,0.071,0.78,0.272
469,4.044779,7.746,4.578,0.071,0.629,2.468
470,4.053297,7.576,4.561,0.081,0.65,2.284
471,4.061479,7.704,4.564,0.054,0.667,2.419
472,4.071951,5.72,4.643,0.065,0.77,0.242
473,4.080275,5.693,4.604,0.05,0.795,0.244
474,4.088903,7.239,4.599,0.067,0.597,1.976
475,4.09689,7.569,4.489,0.053,0.609,2.418
476,4.105429,7.365,4.478,0.049,0.63,2.208
477,4.113481,7.632,4.462,0.034,0.651,2.485
478,4.122105,7.505,4.51,0.069,0.762,2.164
479,4.132089,5.864,4.603,0.063,0.779,0.419
480,4.140768,5.564,4.49,0.059,0.738,0.277
481,4.149114,5.517,4.498,0.045,0.732,0.242
482,4.157219,7.51,4.486,0.039,0.577,2.408
483,4.165977,7.095,4.502,0.068,0.607,1.918
484,4.173911,7.52,4.506,0.06,0.627,2.327
485,4.18269,7.055,4.453,0.069,0.647,1.886
486,4.192558,5.561,4.538,0.049,0.676,0.298
487,4.201231,5.513,4.489,0.067,0.719,0.238
488,4.209621,5.485,4.455,0.044,0.698,0.288
489,4.217984,5.48,4.481,0.069,0.678,0.252
490,4.225827,5.964,4.46,0.044,1.121,0.339
491,4.234453,5.658,4.473,0.048,0.874,0.263
492,4.243204,5.63,4.491,0.061,0.817,0.261
493,4.253441,7.134,4.568,0.094,0.802,1.67
494,4.261528,7.381,4.569,0.055,0.82,1.937
495,4.26984,7.389,4.602,0.057,0.844,1.886
496,4.278484,7.09,4.574,0.073,0.863,1.58
497,4.28671,7.171,4.607,0.062,0.882,1.62
498,4.295077,7.161,4.602,0.079,0.907,1.573
499,4.303124,7.44,4.6,0.08,0.93,1.83
500,4.311622,7.274,4.604,0.084,0.948,1.638
501,4.319888,7.324,4.601,0.099,0.971,1.653
502,4.330015,5.729,4.6,0.073,0.798,0.258
503,4.338594,5.754,4.574,0.081,0.888,0.211
504,4.347205,6.811,4.619,0.062,0.744,1.386
505,4.355201,7.163,4.618,0.082,0.813,1.65
506,4.363783,6.951,4.589,0.07,0.835,1.457
507,4.37193,7.144,4.598,0.057,0.858,1.631
508,4.380566,6.831,4.563,0.075,0.876,1.317
509,4.390704,5.495,4.599,0.057,0.604,0.235
510,4.399169,5.48,4.522,0.078,0.663,0.217
