sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
271,2.343231,9.103,4.56,2.1,1.033,1.41
272,2.353138,8.799,4.584,2.15,0.752,1.313
273,2.361613,8.736,4.581,2.174,0.698,1.283
274,2.369627,9.08,4.57,2.267,1.025,1.218
275,2.378109,8.893,4.704,2.498,0.746,0.945
276,2.386473,8.973,4.465,2.073,0.977,1.458
277,2.394969,8.724,4.557,2.141,0.735,1.291
278,2.403229,8.758,4.522,2.09,0.846,1.3
279,2.413335,8.75,4.627,2.09,0.725,1.308
280,2.421946,8.664,4.584,2.164,0.701,1.215
281,2.430429,8.809,4.572,2.273,0.764,1.2
282,2.438365,9.103,4.552,2.072,1.185,1.294
283,2.44686,8.909,4.613,2.121,0.953,1.222
284,2.454991,9.13,4.532,2.132,1.276,1.19
285,2.463625,8.86,4.641,2.189,0.87,1.16
286,2.474029,9.329,4.614,3.739,0.736,0.24
287,2.484297,8.547,4.576,3.048,0.625,0.298
288,2.49249,8.664,4.619,2.931,0.724,0.39
289,2.500859,8.841,4.638,3.341,0.62,0.242
290,2.509077,9.112,4.63,3.677,0.612,0.193
291,2.517476,9.114,4.671,3.471,0.726,0.246
292,2.526181,8.667,4.534,2.154,0.837,1.142
293,2.5343,8.944,4.593,3.026,1.006,0.319
294,2.542596,8.928,4.602,3.469,0.675,0.182
295,2.550909,9.064,4.791,3.225,0.725,0.323
296,2.559803,8.851,4.622,3.38,0.62,0.229
297,2.567582,9.535,4.948,3.707,0.58,0.3
298,2.576779,9.109,4.62,3.464,0.559,0.466
299,2.584587,9.496,4.906,3.224,1.073,0.293
300,2.5946,8.839,4.627,3.341,0.68,0.191
301,2.603228,8.714,4.55,3.152,0.675,0.337
302,2.611521,8.937,4.666,3.445,0.619,0.207
303,2.61959,9.152,4.781,2.446,1.038,0.887
304,2.627842,9.28,4.589,3.874,0.629,0.188
305,2.636279,9.177,4.571,3.078,1.284,0.244
306,2.644689,9.116,4.602,3.373,0.951,0.19
307,2.65527,8.482,4.568,3.004,0.59,0.32
308,2.663449,9.158,4.703,3.446,0.676,0.333
309,2.671946,8.876,4.545,3.311,0.803,0.217
310,2.680218,9.196,4.601,1.998,0.979,1.618
311,2.688569,9.027,4.659,3.381,0.669,0.318
312,2.697095,8.944,4.717,3.097,0.717,0.413
313,2.705119,9.133,4.635,3.198,1.05,0.25
314,2.713616,8.962,4.663,3.451,0.619,0.229
315,2.724203,8.604,4.584,3.083,0.619,0.318
316,2.734169,8.697,4.572,3.255,0.652,0.218
317,2.74237,8.766,4.583,2.945,0.9,0.338
318,2.75072,8.833,4.63,3.417,0.574,0.212
319,2.75892,8.922,4.789,3.183,0.776,0.174
320,2.767339,8.838,4.472,3.218,0.982,0.166
